loan_word;purist_equivalent_edited
pool;spilseynd, aspunt
popelcy;geraaktheyd, slag
populair;volkig, gemeensaam, slegtagtig
populasse;volksken, gemeene volk, slegte volk
populeren;bevolken
populeus;volkrijk
port;haven
portanten;schraagbeelden, waerelddraagers, draagende beelden, zijn menschebeelden
portatijf;draagelijk, draagbaar
porteren;draagen, brengen
portie legitime;
portie;deel, andeel, gedeelte
portier;deurwagter
posaat;geset
poseren;setten, stellen
positie;stelling, stant, voorstelling
positien;voorstellingen, vraagstukken
positijf;gesteld, stelling
positiven;gestelde dingen
possederen;besitten
posseseur;besitter
possessie provisioneel;middeler wijse besitting, herstelling in ’t besit, wederinsetting in ’t besit
possessie;besit, besitting
possessijf;besittend
possessoir;besittelijk
possibel;mogelijk
possideren;besitten
posteriteyt;nakomelingschap, afkomst
postil;korte uytlegging, verklaaring
postilboek;uytlegging boek, verklaaring boek, voorleering boek
postmis;nabooreling, boesem wese
postponeren;nastellen, agterstellen
postpositie;nastelling, agterstelling
postulaat;’t ge-eyschte, ’t begeerde
postulant;eyscher, begeerder, bidder, versoeker
postulatie;afeysching, eysching, afvordering, begeerte, bede, klagte, anklaaging
postuleren;eyschen, afeyschen, afvorderen, begeeren, anklaagen, beschuldigen,in regte spreeken voor iemant
postuur;stal gestalte, gestalte des lijfs
potage;potspijs
potent;magtig, vermogend
potentaat;magtige, magtig heer, geweld heer
potentie;magt, mogentheyd, vermogen
poursuite;vervolg, navolging, vervolging
pousseren;anstouwen, andrijven, voort setten
practijcq;regtvordering, regtsoeffening, regts pleeging, regts gebruyk
practiseren;in ’t werk stellen, oeffenen, uytwerken, bewerken, onderwinden,doen, bedenken, uytvinden
Practisijn;bewerker, uytwerker, in ’t werk steller
practisijn;regtsvorderaar, die eens in anders regt bevordert, regtsoeffener
pragma;werk, werking, handeling
pragmaticus;
prandijs;middagmaal
prealable;vorheen gaande, eerst, vooral, voor afgaande
preallablement;eerstelijk, ten eersten, voort alder eersten, voor al, voor afgaande
prebende;inkomst, geestelijke inkomst, daar heyliger ander geestelijkjaarlijks van leeft
preberen;verschaffen, uytreyken
precarie;ter bede, by vergunning, by toestaaning, tot wederseggens toe
precatie;bidding
precautie;voorhoede, voorhoeding
precaveren;voorhoeden, toesien dat eenig ding niet geschiede
precedent;voorgaand
precederen;voorgaan, overtreffen, te boven gaan
precelleren;uytmunten, overtreffen, te boven gaan
precept;gebod, leering, leer, leerstuk
precept;gebod
precepteur;meester, leermeester
preceptie;bevel, gebod, onderwijsing
precesseur;voorsaat, voorganger
precijs;stip, effe, nauw geset
precipice;steylte, steylheyd
precipieren;gebieden, beveelen
precipitant;haastig, voorbaarig
precipitantie;haastigheyd, voorbaarigheyd
precipitatie;overyling, verhaasting
precipiteren;overylen, verhaasten, van boven neer werpen, ter aarden werpen,vallen, nederstorten
precognitie;voorkennis
predecesseur;voorsaat, voorganger
predefinieren;voorbepaalen
predefinitie;voorbepaaling
predemnatie;voorverdoeming
predemneeren;voorverdoemen, voorveroordeelen
predestinatie;voorschikking, voorbeschikking, voorbestemming
predestineren;voorschikken, voorbeschikken, voorbestemmen
predicant;leeraar, vermaander der gemeente
predicatie;leering, vermaaning, verkondiging, uytroeping, voorsegging
prediceren;voorseggen, verkondigen, waarschouwen
predictie;voorsegging
preëminent uytsteekend;vooryuytsteekend, voortreffelijk
preëminentie;uytsteekentheyd, vooruytsteekent-heyd, uytsteek, voortreffelijkheyd
preëmineren;uytsteeken, vooruytsteeken, overtreffen
prefatie;voorreden
preferentie en concurrentie;voorgank en tsamengaaning, voordeeling entsaamendeeling, voorregthebbing en even gelijk regthebbing
preferentie;voorgank, voordeel, voordeeling, voortrekking, voorsetting, hoogeragting, voortogt
prefereren;voordeelen, voortrekken, meer agten, voorstellen
prefigeren;voorhegten, voorbepaalen, voorbestemmen
prefinieren;te vooren bescheyden, te vooren bepaalen, te vooren bespreeken
prefinitie;voorbepaaling
prefix;voorgehegt, voorbestemt
prefixie;voorhegting
pregnant;dringend, wigtig
prejudiceren;vooroordeelen
prejudicie;vooroordeel, vooroordeeling
prelaat;eerste heyliger van huys Gods, voorsittend heyliger leeraarvan kerk, kerk-voogd
Prelaat;voorstander, voorgestelde boove gestelde
prelaatschap;eerste heyligerschap, voorsittend heyligerschap, kerk-voogdy,de staat en waerdigheyd des eerste heyligers
prelature;
prelegaat;vooruytmaaking, voor erf
prelegateren;vooruyt maaken
preliminair;vooruyt gestelt
prematuur;onrijp, ontijdig, seer vroeg
premeditatie;voorbedenking, voorbesinning, vooroverdenking
premediteren;voorbedenken, voorbesinnen
premie;loon, wedde, vereering, belooning
premieren;beloonen, vereeren, begiften
premissen;voorsendingen, voorafsendingen, voorstellingen, voorafgaandedingen
premitteren;voorsenden, voorheen senden, vooraf senden, voorstellen
premoneren;te vooren vermaanen, waarschouwen, verwittigen, te voorenverwittigen
premonitie;voor vermaaning, te voore verwittiging, waarschouwing,verwittiging
prenotie;voorkennis
prenuntieren;voorboodschappen, voorseggen, voorspellen
preoccupatie;voorkoming, vooropneeming, voor-besitting
preoccuperen;voorkomen, voor inneemen, voor opneemen, voor besitten
preordinatie;voorbeschikking, voorschikking
preordineren;voorbeschikken, voorschikken
preparatie;toereeding, toebereyding, voorbereyding, gereedschap, bereydsel
preparatoir;toereedig, toebereydig
prepareren;toereeden, toebereyden, voorbereyden
preposeren;voorstellen, voorsetten
prepositie;voorstelling, voorsetting
prerogatijf;voordeel, voorregt, grooter agting, voortreffelijkheyd
presbyter;ouderling, ouderling der gemeente
presbyteriaal;ouderlingbetaamend, ouderlingagtig
prescientie;voorweetenschap, voorweetenheyd
prescriberen;voorschrijven, beveelen, schikken
prescriptie;verjaaring
Prescriptie;voorschrijving, beveling
present;tegenwoordig
presentabel;ansienlijk
presentatie doen;anbieding doen, voorstelling doen
presentatie;anbieding, overboding, voorstelling
presenteren ter rolle;op de rol brengen
presenteren;anbieden, overbodig zijn, voorstellen
presentie;tegenwoordigheyd, by zijn
preservatie;behoeding, verhoeding, bewaaring
preservatijf;verhoedig, behoedig, behoedend, bewaarend
preserveren;behoeden, bewaaren, behouden, beschutten
preses;
President van schepenen;eerste schepen, voorsittend schepen
president;voorsittende, voorsitter
presidentie;voorsitting
presidentschap;voorsittingschap
presideren;voorsitten, eerste zijn, overste zijn
presidiaal hof;het hooge hof, het hof van Holland
prestantie;overtreffing, te booven gaaning
prestatie van evictie;uytwinnings bevrijding
prestatie van indemniteyt;schadeloos houding, schade vergoeding
prestatie;geeving, tooning, te booven gaaning, volvoering, volbrenging,bewijsing, betooning, te weeg brenging, houding, nakoming van’t geen men belooft heeft
presteren;geeven, goed doen vergoeden
presumeren;vermoeden, waanen, te vooren neemen
presumptie;vermoeding, waan, waanvermoeding, gissing raading uyt ’tbewijs van eenige omstandigheden
presumptueus;vermoedend, verwaand, vermeetend, laatdunkend
presupponeren;voor onderstellen, vast stellen, voor bedingen
presuppositie;voor onderstelling, vast stelling, voorbeding
pretenderen;voorgeeven, vereyschen, voorwenden, voorderen, waanen,vermeynen, regt waanen, afvorderen
pretensie;eysch, afvordering, vordering, voorgeeving, voorwending, regtswaan,vereysching
preterieren;voorby gaan, onterven
preteritie;voorby gaaning, onterving
pretext;deksel, schijn, voorgeeving, voorwending tot dekmantel, tot eenschijn
pretieus;kostelijk, dierbaar
preuve;bewijs, beweering, proef
prevaleren;te boven gaan, overtreffen, boven drijven, beter zijn, sterker zijn,van meerder waarde zijn
prevaricateur;overtreeder, tweesijdige bedrieger
prevaricatie;overtreeding, te buyten gaaning, vergrijping
prevariceren;overtreeden, te buyten gaan, vergrijpen
prevenieren;voorkomen, verrasschen, te vooren komen
preventie;voorkoming, verrassing
previderen;voorsien, te vooren sien
previsie;voorsiening
prevoost;geweldige, tugt-meester, tugt-voogd,sede-straffer
priester;heyliger
priesterdom;heyligerschap, heyligerampt, het ampt bediening des heyligers, priesterdom, vuyrstookerschap, vuyransteekersschap
priesterschap;
primaat;eerstheyd, opperhoofdigheyd
primigeniture;eerstgeboorte, eerstgeboortenschap
primitif;eerste, eersteling, oorspronkelijk
primo;ten eersten, den eersten
principaal;voornaam, voornaamst, eerste, voorste, opperste
principale debiteur;
principale debitrice;
principalijk;voornaamentlijk, eygentlijk
principiant;beginner, die iets begint
principie;begin, beginsel
prins;vorst, voorst
prioor;of prieur, de eerste, overste
prisatie;waardering, schatting, op geld stelling
priseren;waarderen, schatten, op geld setten
privaat;afgesondert, bysonder
privatie;ontneeming, ontbeering, berooving
privatijf;afsonderender wijse, by afsonderinge, by uytsluytinge
prive;besonder, slegt, gemeen
priveren;ontneemen, ontsetten, berooven
privilegie;voorregt, handvest
priviligeren;voorregt geeven, eenig vergunt regt verleenen, met eenig voorregtbeschenken
probabel;bewijselijk, waarschijnelijk
probabiliteyt;bewijslijkheyd, waarschijnelijkheyd
probatie;bewijs, beweering, beproeving
proberen;bewijsen, beweeren, voor goed kennen, beproeven
probleme;leerbeeld, vraagstuk, werkstuk, ver-toog, voorstel
procederen de plano sine strepitu & figura judicii;regtspleegen sonder uytstelen toelating van verset
procederen sommierlijk of simpelijck;regtspleegen by kort overslag, dingtaalhouden by kort regt, eenvoudelijck regtspleegen, regtspleegen by kort regt
procederen;dingen, dingtaal voeren, regt pleegen
procederende persoonen;dingsluyden, regtspleegers, dingers, dingmannen
procedure;dingtaal, gedingshandel
proces civil;geding in gemeene geld schuldsaaken, andere geschillenom eenig regt geregtigheyd te bekomen
proces communicatoir;gemeenmaakig geding, gemeynbaar geding
proces crimineel;
proces extraordinair;regtpleeging by vangenis
proces ordinair;gewoonelijk geding
proces verbaal;
proces;geding, regtsaak
processie;ommegang, voortkomst
proclamatie;uytroep, uytroeping, afkondiging, omroeping
proclameren;uytroepen, afkondigen, omroepen
procreatie;teeling, voortteeling, voortbrenging
procreeren;teelen, voortteelen, voortbrengen
procurateur;gemagtigde, volmagt, gedingbesorger, voorsorger
procuratie ad lites;volmagt om geding te vervolgen
procuratie ad negotien;volmagt om eenige saken te beschikken: volmagt omeenige handel te drijven
procuratie generaal;algemeene last, volmagt, onbepaalde last, volmagt, algemeene voorsorg, onbepaalde voorsorg
procuratie insuffisant;niet genoegsaame last, volmagt, nietgenoegsaame voorsorg
procuratie op den procureur;volmagt aan den gedingbesorger verleent
procuratie speciaal;besondere last, volmagt, bepaalde last, volmagt, sonderlinge last, volmagt
procuratie suffisant;genoegsaame last, volmagt, genoegsaamevoorsorg
procuratie;volmagt, last
procureren;besorgen, versorgen, voorsorgen, beschikken, bedienen, den lasthebben van anders handel
procureur acceptant stellen;ander gedingbesorger stellen in plaatse van overleefde
procureur ad lites;gedingbesorger om geding te vervolgen, volmagtin regts saaken, klaagvoerder
procureur ad negotien;koopmans handel drijver, koopmans gemagtigde, volmagt, om handel te drijven, om eenige saaken te beschikken
procureur generaal;’s lands gedingbesorger, algemeen gedingbesorger
procureur van justitie;geregtsversorger, gedingbesorger van straf geregts saaken
procureur;geding besorger, besorger, versorger, voorsorger, gemagtigde,volmagt, handeldrijver, taalman
prodigaal;kwistig
prodigaliteyt;kwisting, verdoening, deurbrenging
prodige;deurbrenger, kwistgoed
prodigeren;kwisten, deurbrengen, verdoen
prodigieus;wonderbaarlijk, wanschiktelijk
produceren getuygen;getuygen beleggen, getuygen voortbrengen
produceren;voortbrengen, verlengen, uyttrekken, voordraagen, uytlengen,uytbrengen
product;uytbreng, uytkomst, ’t voortgebragte
productie van getuygen;belegging van getuygen, getuyg-belegging,voortbrenging van getuygen, getuyg-voortbrenging
productie van probatien;bybrenging van bewijsen, overlegging vanbewijsstukken, te weten, om saak te bewijsen en klaar te maaken
productie van stukken;overlegging van stukken, overleggen,en productie, overlegging
productie;voortbrenging, voordraaging, verlenging, uyttrekking
produisant;getuyge belegger, getuyge voortbrenger
profaan;onheylig, waerelds, godloos, ongodsdienstig
profanatie;ontheyliging
profaneren;ontheyligen, ontwyen
profeet;
profereren;uytspreeken, uytten, voortbrengen
professer;hoog-leermeester, opper-leermeester, opper-meester, hoogeschoolmeester
professie;belijdenis, voorgeeving, betragting
profeteren;
profetesse;
profetie;
profijt;voordeel, winste
profijtelijk;voordeelijk, winstelijk
profijtelijkheyd;voordeelijkheyd, winstelijkheyd
profijtig;voordeelig, winstig
profiteren;vorderen, winning doen, winst doen, winnen
profluctie;voortvloeying
proflueren;voortvloeyen
profuge;toevlugt, voorvlugt
profund;diep
profusie;kwisting, verplenging
progeneratie;voortteeling, voortbrenging
progenereren;voortteelen, voortbrengen
progenie;geslagte, afkomste
prognosticatie;voorsegging, voorkenning, voorduyding, voorspelling
prognosticeren;voorkennen, voorduyden, voorspellen, voorkundigen,voorseggen
progredieren;voortgaan, uytgaan, uyt treeden
progres;voortgang, vordering
progressie;voortgang, voortgaaning
prohiberen;verbieden, beletten
prohibitie;verbieding, verbod, beletting
project;voorwerp, ontwerp
projecteren;voorwerpen, ontwerpen
projectie;wegwerping, ontwerping, uyttrekking
projicieren;wegwerpen, uyttrekken, uytreyken, uytwerpen, voorwerpen
prolatie;voortbrenging, te voorschijn brenging, uytdraaging, uytlegging,uytlanging, uyttrekking
prolix;wijdloopig, lang
prologe;voorreden
prolongatie;verlanging, lang maaking, uytstelling
prolongeren;verlangen, lang maaken, uytstellen
promissie;belofte, toesegging
promitteren;belooven, toeseggen
promoteur;voortsetter, vorderaar, bevorderaar, andrijver
Promotie;vordering tot staat, staats vordering
promotie;vordering, bevordering, voortsetting, verder uytsetting, voortvoering
Promoveert worden;gevordert worden tot staat
Promoveren;magt geeven, te weten, om vrye konst te oeffenen
promoveren;vorderen, bevorderen, andrijven, voortsetten, voort voeren, verderuytsetten, toeneemen
prompt;vaerdig, geswind
promptitude;vaerdigheyd, geswindheyd
promulgateur;verkondiger, voorsteller
promulgatie;verkondiging, voorstelling
promulgeren;verkondigen, voorstellen
pronunciatie;uytspraak, uytspreeking, verklaaring
pronuncieren;uytspreeken, verklaaren
propagatie;voortplanting, voortspruyting, verbreyding, uytbreyding,voortsetting
propageren;voortplanten, verbreyden, uytbreyden, voortsetten, voortspruyten
proper;kleyn, dun
propheet;voorsegger, waarsegger
propheteren;voorseggen, waarseggen, uytleggen eenige voorseggingen, eenige schrift, verkondigen
prophetes;voorsegster, waarsegster
prophetie;voorsegging, waarsegging, te weten
propice;toegedaan, goedgunstig
propinquiteyt;nabyheyd
proponent;voorstelder, voorhouder
proponeren;voorstellen, voorsetten, voorhouden
propoost;voorneemen, voorhebbing, gespreek, begonne rede
proportie;evenredenheyd, gelijkmaatigheyd, evenbedeeling, gelijk deeling
proportioneren;evenredigen, vergelijken, gelijk maaken, gelijkmaatigen,gelijkdeelen
proposeren;voorstellen
propositie van erreur;voorstel van misslag in gewijsde, eenvoorstelling van misslag
propositie;voorstelling, voorstel, voorsetting, voorhouding
proprietaris;eygenaar, die iets eygen toekomt met vol regt
proprieteyt;eygenheyd, eygenschap
propulseren;voortdrijven, te rugdrijven
propulsie;voortdrijving, te rugdrijving
prorogatie van jurisdictie;overdaging van geregtsdwang
prorogatie;uytstel, verlanging, uytsetting, agtervolging, vervolging
prorogeren;verlangen, uytstellen, langer uyttrekken, uytsetten, uyttrekken,achtervolgen, vervolgen
proscinderen;snijden, afsnijden, doorsnijden, imant met lasterwoorden verscheuren
proscriberen;bannen, verbannen, uytbannen
proscriptie;banning, uytbanning, verbanning
proscriptie;te koopuytsetting
prose;sonder maat, onmaat, schrift sonder maat
prosecutie;vervolging
prosequeren;vervolgen
prospect;uytsigt
prospectie;voorsiening, uytsiening
prospereren;overwinnen, veroveren, welvaaren
prosperiteyt;welvaart, voorspoed, voorspoedigheyd
prospicieren;sien, voorsien, van veers staen toesien
prosterneren;nederwerpen, ter aarden werpen, verslaan, vellen, afslaan
prostitueren;te vooren bescheyden
protecteur;beschermer, beschutter, schutsheer, beschermheer, bewaarder,bedekker
protectie;schut, beschut, bescherming, bewaaking, bedekking
protegeren;bedekken, beschermen, beschutten, bewaaren
protest;afwijsing, verwerping
Protest;voorbetuyg, voorbetuyging, antuyging
protestant;tegenspreeker, wederspreeker, tegenbetuyger, vrybetuyger
protestatie;vrybetuyging, vrybetuyg, regtbewaaring, regthoudens voorbeding,onschuldtuyging
protesteren;wederspreeken, tegenspreeken, verwerpen, afwijsen
protexie;
protocol;kladboek, bewerpboek, daarmen het bewerp van schriftin ’t klad in schrijft, schrijfboek, schrijfrol
protocolleren;te boek stellen, in ’t kladboek schrijven
prove;
proverbe;spreekwoord, spreuck, by spreuck, spreekwijs
proviand;voorraad, voorraad van spijs en drank, en andere behoeftigheden
provident;voorsienig
providentie;voorsienigheyd, voorsiening
provideren;voorsien, toesien en besorgen
provinciale-raad;de landraad, landraadsvergadering, landschapsraad, landschapsraads vergadering, landsaatigeraad
provincie;landschap
provisie van justitie te bekomen;middelerwijls regt te bekomen
Provisie;middelerwijls, ondertusschen, vooreerst
Provisie;saakvoerloon
provisie;voorsiening
provisioneel vonnis;
provisioneel;midderlerwijls, ondertusschen by voorraad, vooreerst, tot opseggenstoe
provisionele possessie;
provisionele sententie;
provocatie;wederroep, beroeping, beroep, roeping voor hooger regter,hooger betrek
provoceren;beroepen, weder-roepen
proye;buyt, roof
prudent;voorsigtigh, wijs, toesigtig, bedagt
prudentelijck;voorsigtelijk, bedagtelijk, wijsselijk, toesigtelijk
prudentie;voorsigtigheyd, bedagtheyd, toesigtigheyd, wijsheyd
pruyk;
psalm;snaargesang, gesang, lied
psalmboek;gesangboek, liedboek
psalmen;snaargesangen, gesangen, liederen
publicatie;afkondiging, afleesing
publiceren;afkondigen, afleesen
publijcq instrument;wettigschrift, openbaarschrift
publijcq;openbaar, waereldkundig
pudicitie;kuysheyd, schaamte, eerbaarheyd
pudicq;schaamtigh, schaamtelijk, eerbaer, kuysch
pueril;kinderlijk
pueritie;kindsheyd
pulluleren;opschieten, spruyten, uytspruyten, voortbrengen, jongebaaren
pulpit;lessenaar
pulver;stof
pulveriseren;vermorselen, stofmaaken, tot stof maaken, iets tot kleyn stofstampen
punct;
puncten van officie;
puncten van officie;
puncten;
punctueel;bestiptig, geschiktelijk, net
punctueelijk;bestiptelijk, van stuk tot stuk, eng genomen
punctueren;afstippen, afteykenen
punieren;straffen
punitie;straffing
punt;spits, scherpte, scherpe spits
pupil;wees, weeskind
pupillariteyt;minderjaarigheyd, onmondigheyd
purgatie;suyvering, lossing, buyksuyveringh, buyk lossing, suyverdrankje,lossingdrankje
purge civil;dagvaarding van vermeent regt instelling
purge crimineel;dagbrief om sik te ontschuldigen van betigte misdaad
purge;verschooning, ontschuldiging, verschooning van noodsuym
purgeren;verschoonen, verontschuldigen
purificatie;reynmaaking, suyvering
puriteyn;suyver
puriteyt;suyverheyd
pusillanimiteyt;kleynmoedigheyd, slaphertigheyd
putaetijf;agtenderwijs, vermeynelijk
putrefactie;verrotting, rotting
putrifieren;rotten, verrotten
puur;onschuldig
puyr;onschuldig
quadraat;vierkant, vierhoek
quadragesima;veertigste
quadrant;vierde deel
quadrature;vierkanting
quadreren;vierkant maaken, voegen, passen
Quadruplicatie;tweede naweer
quadruplicatie;vierdubbeling, vierdubbelmaaking, viervoudigmaaking
Quadrupliceren;tweede naweer doen
quadrupliceren;viervoudig maaken, met vieren vermeenigvuldigen
quadruplijcq;naweers bevesting, tweede naweer
qualificatie;hoedanigmaakingh, hoedaniging, eernaamgeeving
qualificeert persoon;man van ansien, man van staat, menschvan aensien staat, ansienlijk mensch
qualificeren;hoedanigen, hoedanigmaaken
qualiteyt;hoedanigheyd, gedaante
quantiteyt;grootheyd, meenigvuldigheyd, meenigte, hoe grootheyd
quarene;
quarenteine;
quarriere;
quartein;derdendagse koorts
quartier;vierendeel
quartier-meester;wijkmeester
quatertemper;viergetijdsche vasten, is drydaagse vasten, de welcke viermaaldes jaars komt, en onderhouden word by die van de Roomse Godsdienst
querelle;krakkeel, gekijf, twist
querelleren;krakkeelen, kijven, twisten
querelleus;krakkeelig, twistig
quereren;beklaagen, klaagen
questeren;versoeken, opsoeken
questie;geschil, twist
questioneren;ondervraagen
quid pro quo;wat voor dat, ’t voor ’t ander, dat voor dat
quidam;kwant, vent, die wat snaaks is
quiesceren;rusten, berusten
quietude;gerustheyd
quinquenellen;vijfjaarige uytstelbrieven, sijn brieven dewelke inhouden eenvijfjaarigh uytstel eens gewijsde
quintessentie;de hoogste kragt, diemen uyt eenig ding door konst krijgen kan
quitancie;handschrift van voldoening, kwijt-schulding, bekentenis van voldoening, voldaanbekentenisschrift
quiteren;kwijtschulden, ten goede schulden, ontslaan van schuld
quohier;
quote;andeel, hoe veel, maal, werf
quoteren;tekenen, antekenen
quotisatie;schatting
quotiseren;schatten, andeel eyschen, andeelen
raar;selden, seldsaam, ongemeen
rabat;afslag, afkorting
rabatteren;afslaan, afkorten
race;afkomst
raconteren;vertellen
racoutreren;vermaaken, weermaaken, vernieuwen, nieuwmaaken, lappen
radiatie;straaling
radicaal;wortelig, gewortelt, oorsponkelijk
radiceren;wortelen, inwortelen
raffineren;suyveren, louteren, doorlouteren
railleren;gekken, boerten
raillerie;gekkerny, boert
raka;ydel, ledig
ramasseren;vergaderen
rampart;wal
ranckeur;haat, geveynstheyd
rancune;
rantzoen;verlossing, versoening, losgeld
rantzoenen;lossen, verlossen, vryen, bevryen, versoenen
rantzoeneren;losgeld op setten op iemant, losgeld stellen opimant, lossen, verlossen
rapiamus;mengelmoes, t’saamenmenging van veel dingen
rappel;herroep, wederroeping
rappelleren;herroepen, wederroepen
rapport;bescheyd, verhaal van sijn wedervaa-ren, verslag, anbrenging, overdragt
rapporteren;bescheyd brengen, verhaal doen van sijn wedervaaren, verhaalensijn wedervaaren, verhaalen iets ’t geen men verrigt heeft, overslag doen,anbrengen, overbrengen, andraagen, overdraagen
rapporteur;anbrenger, overbrenger, overdraager, verhaaler verhaaler van sijnwedervaaren
rapporteur;
rapt;roof, schaaking
rarefactie;veryling, dunmaaking, verdunning
rariteit;seldsaamheyd
raseren;vernielen, afschrabben
rate;behoorte, andeel
ratificatie;bekrachtiging, gestadiging, bevestiging, van waarde houding
ratificeren;bekrachtigen, bevestigen, gestadigen, van waarde houden
ratiocinatie;redeneering, redevoering
ratiocineren;redeneeren, redevoeren
rationaal;redelijk
rauactie;eerste regtelijke opspraak, antaal
ravalleren;slinken, sakken
ravelijn;bolwerk, halvemaan
ravestissement;onderlinge maaking tusschen man ende vrouw
rayeren;uytschrabben, uytdoen, uytveegen
reaal;atheense vierendeelloots, gemeenelijk Konings penning
Reaal;
reaalijk;
realiseren;bestaan, in wesen zijn
realiteyt;saakelijkheyd, daadelijkheyd
reaudieren;herhooren, wederhooren, op nieuw hooren, overhooren
reauditie;herhooring, wederhooring, overhooring
rebel;wederspannig, oproerig, afvallig, hartnekkig
rebelleren;wederspannig zijn, oproermaaken, tegenspannen, opstaan tegeniemand, afvallen
rebellie;oproer, oproermaaking, wederspannigheyd, tegenspanning, afvalligheyd,opstant tegens iemand
rebours;averegts, verkeert
recapitulatie;hoofddeeling, hoofdstuk deeling, wederhaaling der hoofdstukken,vertelling
recapituleren;hoofd deelen, hoofdstukdeelen, wederhaalen de hoofdstukken,vertellen
recederen;aarselen, afwijken
recenseren;overrekenen, narekenen, overtellen, optellen, oversien
recensie;optelling, narekening, overrekening, overtelling, oversiening
recepisse;ontfang, ontfangbrief, verklaringe datmen iet ontfangen heeft
recept;inneemsel briefje, inneemsel voorschrijving, geneesmiddelvoorschrijving
receptacle;begrijpplaats, verblijfplaats, vertrek, vertrekplaats, schuylplaats
receptie;ontfanging, wederneeming, neeming, wederkrijging, anneeming
reces;weggang, afscheyd, afwijk, uytstel
recesseren;in regt voordraagen
recessie;afwijking, weggaaning, afscheyding, aarseling, deynsing, terugdeynsing
recherche;ondersoek
rechercheren;ondersoeken, opsoeken
recidive;weervallend, weerinstortend
recipe;neemt
Recipe;ontfanging
Recipieren;inhouden, belooven, verhaalen
recipieren;wederneemen wederkrijgen, nemen, anneemen, ontfangen
reciprocatie;weerkeering
reciproceren;weerkeeren
reciproque;onderling, wederzijds, weerkeerlijk, over en weer, heen en weer
recisie;afsnijding
recit;verhaal, opsegging
recitatie;verhaaling, opleesing, opsegging
reciteren;verhaalen, opseggen, opleesen
reclamanten;wederspreekers, tegenspreekers, tegenseggers, tegenroepers
reclamatie;wederroeping, tegenroep, wederspraak, tegensegging
reclameren;wederroepen, tegenroepen, tegenseggen, wederspreeken
reclinatie;afbuyging, afwijking, nederlegging, nederbuyging, nederhelling
reclineren;afbuygen, afwijken, nederbuygen, nederleggen, nederhellen
recogneren;erkennen, herkennen, wederomkennen
recognitie;erkenning, herkenning, erkentenis, herkentenis, wederoversiening,verbetering
recognoissance;erkentenis, herkentenis, erkenning, herkenning
recognosceren;erkennen, herkennen, wederomkennen, wederoversien,verbeteren
recolement van getuygen;naarder ondervraging der getuygen, wederhooringder getuygen
recolement van rekening;herrekening, oversiening der rekening, rekeningsweeroversiening
recolement;overhooring, wederhooring, oversiening
recoleren de getuygen;getuygen wederhooren, de getuygen herhooren, degetuygen voor de tweedemaal hooren, de getuygen nader ondervraagen
recoleren een rekening;rekening weder oversien, herrekenen
recoleren;herhooren, overhooren, wederhooren, oversien
recollatie;wedervergelijking
recommandabel;prijselijk, anprijselijk
recommandatie brieven;brieven van voorschrijving, voorschrijving brieven
Recommandatie;anbeveeling, anprijsing, voorschrijving, gebiedenis
recommandatie;beswarenisse, beswaaring, nieuwe besetting, nieuwebekommering
recommanderen;anbeveelen, anprijsen, in be-veelen
recompens;vergelding
recompensabel;vergeldelijk
recompensatie;vergelding
recompenseren;vergelden
reconciliabel;versoenbaar
reconciliatie;versoening, vereeniging
reconcilieren;versoenen, vereenigen
reconvenieren;wedereyschen, wederomeyschen, tegeneyschen, tegeneyschdoen, met weder regt anspreeken, wederomspreeken
reconventie doen;wedereysch doen, tegeneysch doen, metwederregtanspreeken
reconventie;wedereysch, tegeneysch
recordatie;herdenking, geheuging
recorderen;herdenken, geheugen
recours;toevlugt, hergang, wederloop, wederkeer
recouvrement;verovering, weerkrijging, verhaaling
recouvreren;veroveren, wederkrijgen, verhaalen
recreance;wedervertrouwing, toevertrouwing
recreatie;vermaak, vermaakelijkheyd, verlustiging, verversching
recreatijf;vermaakelijk, geneuggelijk, verlustelijk
recredentie;wedervertrouwing, toevertrouwing, vertrouwing
recreeren;vermaaken, verlustigen, wederom opmaaken, vervarschen en wederomdoen groeyjen, doen bekomen
recreut of recruyte;vervarsching, vervulling, volmaaking
recreuteren of recruyteren;vervarschen, vervullen, volmaaken
rectificatie;regtmaaking
rectificeren;regtmaaken
rectitude;regtheyd
rectoor;bestierder
recuil;versaam, versaameling
reculeren;aarselen
recuperatie;verovering, wederkrijging
recupereren;wederkrijgen, veroveren
recusant;onwillig, weygerend
recusatie;weygering
recuseren;weygeren
redargueren;wederleggen, overtuygen, overreden, bewijsen
redargutie;wederlegging, overreding, overtuyging, bewijsing
redemptie;vrykoop, verlossing, aflossing
redevabel;schuldig, schuldbaar
redhiberen;wedergeeven, weeromgeeven
redhibitie;wedergeeving, weeroverneemingh, weeromgeeving
redhibitoire actie;opspraak van weeroverneeming, opspraak vanweeromgeeving van eenig gekocht goed, het regt van opspraak van kooperop den verkooper om eenig verkogt goed
redigeren;maaken, stellen, schikken, by vergaderen, wederom brengen,met geweld dryven
redimeren;verlossen, vrykoopen, aflossen, wederomkoopen, vergelden
redintegratie;weder in ’t geheel brenging, herstelling, vernieuwing,vervarsching
redintegreren;weder in ’t geheel brengen, hervatten, herstellen, vernieuwen,hermaaken, wederom beginnen
rediten;herseggingen, wederseggingen
reditus;inkomst, jaarlijkse inkomst van imants goederen
redondatie;overvloeying, te rugvloeying
